ETL_EM,Cell_A,Cs_ratio,FA_ratio,MA_ratio,Br_ratio,DMSO_DMF,AntiSolvent_Xl,AntiSolvent_bp,AntiSolvent_v,Annealing_t,JV_Voc,JV_Jsc,JV_FF,JV_PCE
3.3e-05,0.09,0,0,1,0,0.3113776756766438,2.9,131.7,0.806,100,1.05,20.68,0.7,15.33
0.000671093,0.080764701,0.006737214,0,1,0,0.4294452500635087,2.9,131.7,0.806,100,1.08,21.04,0.74,17.05
3.3e-05,0.09,0.05,0.79,0.16,0.17,0.25,2.755394368091941,131.7,0.7797850822036565,105.68433446802914,1.03,20.8,0.746,16.1
0.000992,0.09,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.05,21.8,0.767,17.5
0.000992,0.16,0.05,0.81,0.14,0.15,0.25,0.7,112.45645792885881,0.42299999999999993,120,1.097,22.26,0.75,18.32
0.000992,0.16,0.05,0.81,0.14,0.12072378252005578,0.2342051501829028,0.7,77.1,0.42299999999999993,120,1.092,22.21,0.755,18.07
0.000992,0.1,0.022630111,0.83,0.17,0.17,0.19007297270831464,2.9,131.7,0.806,140,1.18,20.04,0.759,19.63
3.3e-05,0.09,0,0.85,0.15,0,0.25,2.9,131.7,0.806,150,1.03,24.19,0.726,18.3
0.000957532,0.09,0.011094361217439173,0.7949417434272765,0.15,0,0.25,2.9,121.50799116149162,0.806,150,1.05,25.4,0.771,20.56
0.000992,0.1,0.005741649,0,1,0,0.11111111111111101,2.7856712619540693,131.7,0.7632859144155085,100,1.02,22.5,0.752,17.6
0.000992,0.1,0.018735163348346948,0.81,0.14,0.15,0.25,2.9,119.0421055552408,0.806,120,1.13,22.58,0.733,18.7
3.3e-05,0.16,0.003627449,0,1,0,0.6069967757684887,2.7620479655269383,131.7,0.806,107.72758707106489,1.01,21.8,0.668,14.7
3.3e-05,0.083391884,0,0,1,0,0.3858873633987605,2.9,131.7,0.806,106.8424563012023,1.02,22.3,0.76,17.3
