ETL_EM,Cell_A,Cs_ratio,FA_ratio,MA_ratio,Br_ratio,DMSO_DMF,AntiSolvent_Xl,AntiSolvent_bp,AntiSolvent_v,Annealing_t,JV_Voc,JV_Jsc,JV_FF,JV_PCE
3.3e-05,0.099547596,0,0.001907976,1,0.00775478,0.25,2.9,131.7,0.806,100,1.05,20.68,0.7,15.33
3.3e-05,0.09,0,0,1,0,0.37653044715321393,2.9,131.7,0.806,108.37926402891668,1.08,21.04,0.74,17.05
3.3e-05,0.089883849,0.05,0.7840253802388906,0.16,0.17,0.25,2.9,131.7,0.806,108.29721018812513,1.03,20.8,0.746,16.1
0.000992,0.09,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.05,21.8,0.767,17.5
4.233666229248047e-05,0.16,0.05,0.81,0.14,0.15,0.25,2.393504907486439,77.1,0.42299999999999993,120,1.097,22.26,0.75,18.32
0.000992,0.096748237,0.05,0.81,0.14,0.15,0.25,0.7,77.1,0.42299999999999993,120,1.092,22.21,0.755,18.07
0.000992,0.1,0,0.83,0.17,0.13312313690105082,0.088889587,2.9,131.7,0.806,140,1.18,20.04,0.759,19.63
3.3e-05,0.09,0.018911482,0.85,0.15,0,0.25,2.9,131.7,0.806,150,1.03,24.19,0.726,18.3
3.3e-05,0.09,0,0.85,0.15,0,0.25,2.9,131.7,0.806,150,1.05,25.4,0.771,20.56
0.000992,0.1,0,0,1,0,0.111111111,2.9,131.7,0.806,108.25248912082938,1.02,22.5,0.752,17.6
0.000992,0.1,0.05,0.81,0.12824738929462431,0.15,0.25,2.214557833553672,131.7,0.806,120,1.13,22.58,0.733,18.7
3.3e-05,0.16,0,0,1,0,0.111111111,2.9,131.7,0.806,100,1.01,21.8,0.668,14.7
3.3e-05,0.16,0,0,0.9999868140803575,0,0.111111111,2.9,131.7,0.8679066295650602,100,1.02,22.3,0.76,17.3
0.000992,0.16,0.051956154,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.051,20.1,0.75,15.9
0.000992,0.16,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.091,20.6,0.76,17
0.000992,0.17,0.05,0.79,0.16,0.17,0.088889274,2.9,131.7,0.806,100,1.137,21.83,0.749,18.57
0.000992,0.099057231,0.053067687827229496,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.141,22.07,0.748,18.84
0.000992,0.17,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.143,21.86,0.781,19.52
0.000992,0.097171091,0.052186102,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.141,21.92,0.787,19.68
0.000992,0.17,0.05,0.79,0.16,0.17,0.088889493,2.9,116.09519758701049,0.806,100,1.153,22.31,0.791,20.33
3.430096435546875e-05,0.17,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.158,22.39,0.793,20.56
4.047053146362305e-05,0.17,0.05,0.79,0.16,0.17,0.13476344942314758,2.9,131.7,0.806,100,1.145,21.31,0.779,19.02
0.000992,0.17,0.054036416,0.79,0.16,0.17,0.25,2.2724917994744183,131.7,0.806,100,1.145,21.36,0.784,19.17
0.000992,0.17,0,1,0.092513535,0,0.25,2.9,114.00650563751023,0.806,100,1.103,23.23,0.765,19.52
0.000992,0.17,0,1,0,0.12055939859625697,0.25,2.9,131.7,0.806,107.76402488081249,1.117,23.13,0.771,19.92
0.000992,0.097227767,0,1,0.069836955,0,0.25,2.215360243499756,131.7,0.806,109.00779590697772,1.137,23.83,0.798,21.64
3.430928993225098e-05,0.17,0,1,0,0,0.25,2.9,131.7,0.806,107.9162035867217,1.139,23.68,0.814,21.95
