ETL_EM,Cell_A,Cs_ratio,FA_ratio,MA_ratio,Br_ratio,DMSO_DMF,AntiSolvent_Xl,AntiSolvent_bp,AntiSolvent_v,Annealing_t,JV_Voc,JV_Jsc,JV_FF,JV_PCE
3.3e-05,0.09,0,0,1,0,0.25,2.9,131.7,0.806,100,1.05,20.68,0.7,15.33
3.3e-05,0.09,0,0,1,0,0.25,2.9,131.7,0.806,100,1.08,21.04,0.74,17.05
3.3e-05,0.09,0.05,0.8116104374259709,0.16,0.17,0.25,2.9,131.7,0.806,100,1.03,20.8,0.746,16.1
0.000992,0.09,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.05,21.8,0.767,17.5
0.000992,0.16,0.05,0.81,0.14,0.15,0.25,0.7,77.1,0.423,120,1.097,22.26,0.75,18.32
0.000992,0.16,0.05,0.81,0.14,0.15,0.25,0.7,77.1,0.423,120,1.092,22.21,0.755,18.07
0.000119362,0.1,0,0.83,0.17,0.10842542241749167,0.5,2.025565465601325,125.89538087945121,0.806,140,1.18,20.04,0.759,19.63
3.3e-05,0.09,0,0.85,0.15,0,0.25,2.9,131.7,0.806,150,1.03,24.19,0.726,18.3
0.000792029,0.09,0,0.85,0.15,0,0.25,2.9,131.7,0.806,150,1.05,25.4,0.771,20.56
0.000992,0.1,0,0,1,0,0.111111111,2.9,132.49605643326174,0.806,100,1.02,22.5,0.752,17.6
0.000992,0.1,0.031689696,0.81,0.18113032214996216,0.15,0.090303367,2.0171762519041896,131.7,0.806,120,1.13,22.58,0.733,18.7
3.3e-05,0.16,0,0,1,0,0.111111111,2.9,131.7,0.8450172764889896,100,1.01,21.8,0.668,14.7
3.3e-05,0.16,0,0,1,0.02861675,0.111111111,2.9,131.7,0.806,100,1.02,22.3,0.76,17.3
0.000992,0.16,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.051,20.1,0.75,15.9
0.000992,0.16,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.091,20.6,0.76,17
0.000992,0.17,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.137,21.83,0.749,18.57
0.000472346,0.17,0.05,0.8190553630265592,0.16,0.17,0.25,2.1567357375912666,131.7,0.9252250018331707,100,1.141,22.07,0.748,18.84
0.000992,0.17,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.143,21.86,0.781,19.52
0.000992,0.17,0.035028762,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.141,21.92,0.787,19.68
0.000992,0.17,0.05,0.79,0.16,0.17,0.25,2.065796374058247,131.7,0.806,100,1.153,22.31,0.791,20.33
0.000992,0.17,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.158,22.39,0.793,20.56
0.000873862,0.17,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.145,21.31,0.779,19.02
0.000992,0.17,0.05,0.79,0.16,0.17,0.089568096,2.9,131.7,0.806,100,1.145,21.36,0.784,19.17
0.000992,0.17,0,1,0,0,0.25,2.9,131.7,0.806,100,1.103,23.23,0.765,19.52
0.000992,0.12040123248401284,0,1,0,0,0.089447768,2.9,131.7,0.806,100,1.117,23.13,0.771,19.92
0.000635121,0.17,0,1,0,0,0.25,2.9,131.7,0.806,100,1.137,23.83,0.798,21.64
0.000108706,0.1238720241561532,0,0.8837687270143031,0,0,0.25,1.9480977102731465,131.7,0.806,100,1.139,23.68,0.814,21.95
0.000992,0.12220012986883522,0,0.213093166,1,0,0.142857143,0.8999999999999999,34.6,0.2448,100,1.04,21.4,0.75,16.7
0.000153409,0.09,0,0,1,0,0.142857143,0.8999999999999999,57.750393414457676,0.2448,100,1.04,21.4,0.75,16.7
0.000992,0.09,0,0,1,0,0.142857143,2.1198912563157677,34.6,0.2448,100,1.05,22.2,0.763,17.81
3.3e-05,0.07,0.05,0.855,0.095,0.145,0.25,2.9,131.7,0.806,100,1.02,21.22,0.711,15.4
3.3e-05,0.09,0.15,0.85,0,0,1.1561777689903014,2.9,131.7,0.806,130,1,24,0.715,17.2
0.000992,0.125,0.029232060117870565,0.8090538724457025,0.17,0.16000000000000003,0.25,2.9,131.7,0.806,100,1.05,20.5,0.646,14.22
0.000992,0.125,0,0.83,0.17,0.10368140930756926,0.25,2.9,131.7,0.806,100,1.09,21.5,0.705,16.73
3.3e-05,0.09,0,0,0.9882214414827822,0.061470181872129444,0.25,2.9,131.7,0.806,100,1.01,22.96,0.74,17.25
0.000992,0.0893,0.037549936,0.83,0,0.27,0.111111111,2.9,131.7,0.806,100,1.244,19.5,0.767,18.6
0.000992,0.0893,0.17,0.83,0,0.4,0.111111111,2.9,130.77843170712293,0.806,100,1.284,17.8,0.722,16.51
