ETL_EM,Cell_A,Cs_ratio,FA_ratio,MA_ratio,Br_ratio,DMSO_DMF,AntiSolvent_Xl,AntiSolvent_bp,AntiSolvent_v,Annealing_t,JV_Voc,JV_Jsc,JV_FF,JV_PCE
3.3e-05,0.066,0,0,0.9992264964712857,0,0.090909091,2.9,131.7,0.806,100,1.04,22.5,0.74,17.3
3.3e-05,0.066,0,0,1,0,0.090909091,2.9,115.67827357082612,0.806,100,1.07,23.2,0.77,19.1
0.000930814,0.0872801,0,0,1,0,0.090909091,2.9,131.7,0.806,100,1.07,23.7,0.78,19.8
3.3e-05,0.066,0,0,1,0,0.090909091,2.9,114.59269931643112,0.806,100,1.09,22.9,0.76,19
3.3e-05,0.066,0,0,0.999244259,0,0.090909091,2.9,131.7,0.806,100,1.06,22.3,0.77,18.2
0.000992692,0.59,0,0,1,0,0.12195122,0.8999999999999999,34.6,0.2448,100,1.067,22.77,0.733,17.83
3.3e-05,0.59,0.1,0.75,0.15,0.17,2.8884857646135753,2.9,131.7,0.806,122.92185623384545,1.132,21.77,0.761,18.76
0.000932155,0.012,0,0,1,0,0.25,2.9,131.7,0.806,100,1.13,22.79,0.641,16.52
3.3e-05,0.012,0,0,1,0,0.25,2.9,131.7,0.806,100,1.12,22.33,0.689,17.23
3.3e-05,0.094362528,0,0,1,0,0.12195122,0.8999999999999999,34.6,0.2448,100,1.13,22.69,0.722,18.54
0.000992,0.1,0.1,0.75,0.15,0.17,0.25,2.9,131.7,0.806,100,1.11,23.55,0.71,18.56
3.3e-05,0.06,0.1,0.75,0.15,0.153,0.25,2.9,131.7,0.7724517442620993,100,1.06,21.45,0.7,15.93
3.3e-05,0.06,0.1,0.8139084371986388,0.15,0.153,0.25,2.3615323872328404,131.7,0.806,100,1.05,22.05,0.7,16.29
3.3e-05,0.06,0.1,0.8119152558841705,0.15,0.153,0.25,2.9,131.7,0.806,100,1.07,22.8,0.72,17.66
3.3e-05,0.06,0.1,0.75,0.1301692237779498,0.153,0.25,2.9,115.73068394732977,0.806,100,1.06,22.28,0.71,16.86
3.3e-05,0.06,0.1,0.75,0.15,0.153,0.25,2.9,131.7,0.806,100,1.06,22.02,0.71,16.59
3.3e-05,0.06,0.1,0.75,0.14704328578558562,0.153,0.1018476604217602,2.4172356179575325,131.7,0.806,100,1.06,21.68,0.71,16.2
3.3e-05,0.073414215,0.1,0.75,0.15,0.153,0.25,2.9,131.7,0.806,100,1.05,21.97,0.72,16.57
3.3e-05,0.06,0.1,0.75,0.15,0.153,0.34856421203905485,2.9,131.7,0.806,100,1.06,22.63,0.73,17.53
3.3e-05,0.06,0.1,0.75,0.15,0.153,0.3482771182660584,2.9,131.7,0.806,100,1.07,22.97,0.74,18.28
0.000992,0.09,0,0,1,0,0.111111111,2.4206267181447747,34.6,0.2448,60,1.1,21.76,0.728,17.34
0.000992,0.09,0,0.3,0.7,0.3,0.25,2.9,131.7,0.806,100,1.08,23.4,0.74,20.1
0.000992,0.09,0,0.3,0.7,0.3,0.25,2.9,131.7,0.806,100,1.05,21.92,0.61,14.07
0.000992,0.09,0,0.3,0.7,0.3,0.25,2.9,131.7,0.806,120.86546915329507,1.05,22.83,0.74,17.71
0.000992,0.09,0.026667865493476387,0.8392939019799828,0.14801806112101673,0.13436535809502007,0.25,2.3446773559217453,131.7,0.806,100,1.11,22.99,0.77,20.11
0.000992,0.09,0,0.3,0.7,0.3,0.25,2.9,131.7,0.806,100,1.13,22.29,0.68,17.23
3.3e-05,0.16,0,0,1,0,0.428571429,2.9,131.7,0.806,100,1.08,21.51,0.68,15.7
0.000992,0.0314,0.05,0.79,0.16,0.17,0.10353360061944795,2.4679025166604522,131.7,0.7898162821984291,100,1.07,21.7,0.81,18.8
0.000992,0.0314,0.042173755,0.79,0.16,0.13822771296954156,0.25,2.9,131.7,0.806,100,1.1,22.01,0.82,19.8
0.000992,0.0314,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.09,21.5,0.81,19
0.000992,0.0314,0.05,0.8220668907153605,0.16,0.17,0.25,2.356539113621831,131.7,0.806,100,1.113,22.01,0.81,19.9
0.000992,0.0314,0.042661577,0.79,0.16,0.13678780420315265,0.25,2.9,131.7,0.806,100,1.12,21.82,0.83,20.3
0.000992,0.0314,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.1,21.9,0.83,19.96
3.3e-05,0.16,0.05,0.79,0.16,0.17,0.2552443484279418,2.9,131.7,0.806,117.6789645892241,1.12,23.2,0.7,18.15
3.3e-05,0.16,0.05,0.79,0.16,0.13468034558826686,0.25,0.3,82.3,2.038,100,1.16,22.5,0.72,18.9
