ETL_EM,Cell_A,Cs_ratio,FA_ratio,MA_ratio,Br_ratio,DMSO_DMF,AntiSolvent_Xl,AntiSolvent_bp,AntiSolvent_v,Annealing_t,JV_Voc,JV_Jsc,JV_FF,JV_PCE
3.3e-05,0.09,0,0,1,0,0.25,2.9,131.7,0.806,100,1.05,20.68,0.7,15.33
3.3e-05,0.09,0.006945198,0,1,0,1.442497430643627,2.9,131.7,0.806,100,1.08,21.04,0.74,17.05
3.630001831054688e-05,0.09,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.03,20.8,0.746,16.1
0.000992,0.11484435550063847,0.05,0.79,0.16,0.17,0.006122487,2.9,131.7,0.806,108.04945865230096,1.05,21.8,0.767,17.5
0.000992,0.16,0.027164187905222174,0.81,0.163232043,0.15579420663800836,0.25,0.7,77.1,0.42299999999999993,120,1.097,22.26,0.75,18.32
3.300241063076829e-05,0.16,0.05,0.81,0.14,0.15,1.1666961217137002,0.7,77.1,0.42299999999999993,120,1.092,22.21,0.755,18.07
4.1429517745971685e-05,0.1,0,0.83,0.17,0.17,0.5,2.9,124.11185786547327,0.806,140,1.18,20.04,0.759,19.63
3.3e-05,0.09,0,0.85,0.15,0.10884263178440928,0.25,2.9,131.7,0.806,150,1.03,24.19,0.726,18.3
3.3e-05,0.1003894405144751,0,0.85,0.15,0.093214661,0.25,2.5194067178703548,131.7,0.806,150,1.05,25.4,0.771,20.56
4.497864532470703e-05,0.1,0.015772353616982697,0,0.9686247855908274,0.020568483,0.111111111,2.9,131.7,0.806,107.82601722882572,1.02,22.5,0.752,17.6
0.000992,0.10301499136403203,0.05,0.8166435778732299,0.14,0.15,0.25,2.9,131.7,0.807119512,120,1.13,22.58,0.733,18.7
3.3e-05,0.16,0,0,1,0.001925132,0.111111111,2.9,131.7,0.9633374411435724,100,1.01,21.8,0.668,14.7
3.3e-05,0.11043281263947485,0,0,1,0.002089963,0.111111111,2.9,131.7,0.806,108.8299725401414,1.02,22.3,0.76,17.3
