ETL_EM,Cell_A,Cs_ratio,FA_ratio,MA_ratio,Br_ratio,DMSO_DMF,AntiSolvent_Xl,AntiSolvent_bp,AntiSolvent_v,Annealing_t,JV_Voc,JV_Jsc,JV_FF,JV_PCE
3.3e-05,0.09,0.000907366,0,1,0.017614311,1.4517913558257212,2.9,105.1004078406784,0.806,100,1.05,20.68,0.7,15.33
3.3e-05,0.09,0,0,1,0,0.25,2.9,131.7,0.806,100,1.08,21.04,0.74,17.05
3.3e-05,0.09,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.03,20.8,0.746,16.1
0.000806056,0.09,0.029844081609874965,0.79,0.16,0.16333532137745618,0.25,2.507082147,131.7,0.806,100,1.05,21.8,0.767,17.5
0.000992,0.16,0.05,0.81,0.14,0.15,0.25,0.7,77.1,0.42299999999999993,120,1.097,22.26,0.75,18.32
0.000992,0.16,0.05,0.81,0.14,0.1652533185964823,0.25,0.7,77.1,0.42299999999999993,120,1.092,22.21,0.755,18.07
0.000765375,0.1,0,0.83,0.17,0.17,0.5,2.9,105.46822383302259,0.806,140,1.18,20.04,0.759,19.63
3.3e-05,0.09,0,0.8906037176749706,0.15,0,0.25,2.9,131.7,0.806,150,1.03,24.19,0.726,18.3
3.3e-05,0.09,0,0.85,0.15,0,0.25,2.9,131.7,0.806,106.4203092791368,1.05,25.4,0.771,20.56
0.000992,0.1,0,0,1,0,0.111111111,2.9,131.7,0.806,105.676755,1.02,22.5,0.752,17.6
0.000598846,0.1,0.05,0.81,0.14,0.15,0.25,2.9,131.7,0.806,120,1.13,22.58,0.733,18.7
3.3e-05,0.16,0,0,0.9999834762169122,0,0.111111111,2.9,131.7,0.806,104.53567417484719,1.01,21.8,0.668,14.7
3.3e-05,0.16,0,0,1,0,0.111111111,2.9,131.7,0.806,100,1.02,22.3,0.76,17.3
0.000992,0.16,0.05,0.79,0.16,0.17,6.99149074118535e-05,2.9,131.7,0.8215557224775554,100,1.051,20.1,0.75,15.9
0.000992,0.16,0.05,0.79,0.16,0.17,0.25,2.5078156780531407,131.7,0.806,106.6408166640584,1.091,20.6,0.76,17
0.000992,0.17,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,107.57620607026827,1.137,21.83,0.749,18.57
0.000992,0.17,0.032048356,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.141,22.07,0.748,18.84
0.000992,0.17,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.143,21.86,0.781,19.52
0.000992,0.17,0.05,0.79,0.16,0.16253680854147673,0.25,2.9,131.7,0.806,100,1.141,21.92,0.787,19.68
0.000992,0.17,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,107.1807989867936,1.153,22.31,0.791,20.33
0.000992,0.17,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.158,22.39,0.793,20.56
0.000992,0.17,0.05,0.79,0.16,0.16188917915475368,0.25,2.4940752526226047,131.7,0.806,107.69024823397805,1.145,21.31,0.779,19.02
0.000992,0.17,0.030774396,0.79,0.16,0.15833943053984642,0.25,2.9,131.7,0.806,100,1.145,21.36,0.784,19.17
0.000992,0.17,0,1,0,0,5.64391854293822e-05,2.9,99.49697295080531,0.9895139251770974,100,1.103,23.23,0.765,19.52
0.000992,0.17,0,1,0,0,0.25,2.562009570338309,131.7,1.1828450309880674,100,1.117,23.13,0.771,19.92
0.000992,0.17,0,1,0,0.16491972276461125,0.25,2.9,131.7,0.806,106.88552770725686,1.137,23.83,0.798,21.64
0.000992,0.17,0.046514046,1,0,0.16611137657183409,0.25,2.9,131.7,0.806,100,1.139,23.68,0.814,21.95
0.000992,0.09,0,0,1,0,2.1152892083044188e-05,0.9000000000000001,34.6,0.2448,100,1.04,21.4,0.75,16.7
0.000992,0.09,0,0,1,0,0.142857143,0.9000000000000001,34.6,0.2448,100,1.04,21.4,0.75,16.7
0.000653953,0.09,0,0,0.9991568781765698,0,0.142857143,2.654939939563394,34.6,0.2448,100,1.05,22.2,0.763,17.81
3.3e-05,0.076513842,0.05,0.855,0.095,0.145,0.25,2.9,131.7,0.806,100,1.02,21.22,0.711,15.4
3.3e-05,0.09,0.15,0.85,0,0,0.25,2.9,131.7,0.6612727046067417,130,1,24,0.715,17.2
0.000992,0.125,0,0.83,0.17,0.16000000000000003,0.25,2.9,131.7,0.9046275653986038,100,1.05,20.5,0.646,14.22
0.000992,0.098983493,0.027457875211358073,0.83,0.17,0.16000000000000003,0.25,2.9,131.7,0.6582926985029877,105.87791952478194,1.09,21.5,0.705,16.73
0.000153568,0.09,0,0,1,0,0.25,2.9,131.7,0.806,100,1.01,22.96,0.74,17.25
0.000992,0.0893,0.17,0.83,0,0.27,0.000184027,2.9,131.7,0.806,100,1.244,19.5,0.767,18.6
0.000992,0.0893,0.17,0.83,0,0.4,0.111111111,2.9,131.7,0.806,100,1.284,17.8,0.722,16.51
