ETL_EM,Cell_A,Cs_ratio,FA_ratio,MA_ratio,Br_ratio,DMSO_DMF,AntiSolvent_Xl,AntiSolvent_bp,AntiSolvent_v,Annealing_t,JV_Voc,JV_Jsc,JV_FF,JV_PCE
3.3e-05,0.066,0,0,1,0,0.090909091,2.9,131.7,0.806,100,1.04,22.5,0.74,17.3
3.3e-05,0.066,0,0,0.9992182710220813,0,0.090909091,2.314055983253062,119.9317124600802,0.806,117.41659537198653,1.07,23.2,0.77,19.1
0.000446881,0.066,0,0.000448883,1,0,0.090909091,2.9,131.7,0.7234625174665154,100,1.07,23.7,0.78,19.8
3.3e-05,0.066,0,0,1,0,0.090909091,2.9,131.7,0.806,100,1.09,22.9,0.76,19
3.3e-05,0.066,0,0,1,0.005051804,0.090909091,2.9,131.7,0.7643207635838092,100,1.06,22.3,0.77,18.2
3.3e-05,0.59,0,0,1,0.026526970423400402,0.12195122,0.8999999999999999,34.6,0.2448,100,1.067,22.77,0.733,17.83
5.9750020980834964e-05,0.59,0.1,0.75,0.15,0.17,0.25,2.9,131.7,0.806,100,1.132,21.77,0.761,18.76
3.3e-05,0.012,0,0.001986833,1,0,0.18646315474225109,2.3530073225808144,131.7,0.806,116.90888896486953,1.13,22.79,0.641,16.52
3.3e-05,0.012,0,0,1,0,0.2017193439981699,2.9,131.7,0.806,100,1.12,22.33,0.689,17.23
3.3e-05,0.012,0,0,1,0.007649,0.12195122,0.8999999999999999,34.6,0.2448,100,1.13,22.69,0.722,18.54
0.000992,0.1,0.1,0.75,0.134140596,0.17,0.25,2.9,131.7,0.8371802116107345,100,1.11,23.55,0.71,18.56
0.000577985,0.06,0.1,0.75,0.15,0.153,0.25,2.9,131.7,0.806,100,1.06,21.45,0.7,15.93
3.3e-05,0.06,0.1,0.75,0.15,0.153,0.25,2.322730250305176,131.7,0.806,100,1.05,22.05,0.7,16.29
3.3e-05,0.06,0.1,0.75,0.15,0.153,0.25,2.9,131.7,0.806,100,1.07,22.8,0.72,17.66
3.3e-05,0.06,0.1,0.75,0.15,0.153,0.25,2.9,131.7,0.806,115.91783954934988,1.06,22.28,0.71,16.86
3.3e-05,0.06,0.1,0.75,0.15,0.153,0.25,2.9,131.7,0.806,100,1.06,22.02,0.71,16.59
3.3e-05,0.06,0.1,0.75,0.15,0.153,0.25,2.9,131.7,0.7828276799909771,115.8157144,1.06,21.68,0.71,16.2
3.3e-05,0.06,0.1,0.75,0.15,0.153,0.25,2.9,131.7,0.806,100,1.05,21.97,0.72,16.57
0.000693072,0.06,0.1,0.75,0.15,0.153,0.25,2.9,131.7,0.806,100,1.06,22.63,0.73,17.53
3.3e-05,0.06,0.1,0.75,0.15,0.153,0.25,2.9,131.7,0.806,100,1.07,22.97,0.74,18.28
0.000992,0.102564403,0,0,1,0,0.111111111,0.8999999999999999,34.6,0.2448,60,1.1,21.76,0.728,17.34
0.000992,0.09,0,0.3,0.7,0.3,0.25,2.9,131.7,0.806,100,1.08,23.4,0.74,20.1
0.000992,0.10450213311105967,0,0.3,0.7,0.3,0.25,2.9,131.7,0.806,100,1.05,21.92,0.61,14.07
0.000992,0.09,0,0.3,0.7,0.3,0.25,2.9,119.9835584282769,0.806,100,1.05,22.83,0.74,17.71
0.000992,0.09,0,0.3414994316937923,0.7,0.091070963,0.25,2.358776648943961,131.7,0.806,100,1.11,22.99,0.77,20.11
0.000992,0.09,0,0.3,0.7,0.3,0.25,2.9,131.7,0.806,100,1.13,22.29,0.68,17.23
3.3e-05,0.16,0,0,1,0,0.428571429,2.401128935149789,119.10307423342115,0.8713344069435597,117.7525688754318,1.08,21.51,0.68,15.7
0.000514794,0.0314,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.07,21.7,0.81,18.8
0.000992,0.0314,0.0421456,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.1,22.01,0.82,19.8
0.000992,0.0314,0.040721371,0.79,0.16,0.17,0.25,2.9,131.7,0.6768312317349315,100,1.09,21.5,0.81,19
0.000992,0.10495668722707033,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.113,22.01,0.81,19.9
0.000992,0.0314,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.12,21.82,0.83,20.3
0.000992,0.0314,0.05,0.8126221080734133,0.16,0.17,0.25,2.9,131.7,0.806,100,1.1,21.9,0.83,19.96
3.3e-05,0.16,0.035598674,0.79,0.16,0.17,0.3460859845839976,2.9,131.7,0.806,100,1.12,23.2,0.7,18.15
3.3e-05,0.16,0.05,0.8188514553328752,0.16,0.17,0.4439221798495837,0.3,82.3,2.038,100,1.16,22.5,0.72,18.9
3.3e-05,0.099552611,0.05,0.8091045364444255,0.16,0.17,0.25,2.9,131.7,0.806,100,1.12,22.3,0.7,18.2
3.3e-05,0.16,0.05,0.79,0.16,0.17,0.25,2.0920958839163184,82.3,2.038,100,1.16,22.5,0.705,18.8
4.6937387466430666e-05,0.1,0.003851362,0,1,0.007997676,0.428571429,2.9,131.7,0.806,100,1.07,23.09,0.734,18.22
0.000205687,0.10584623819944262,0,0,1,0.005943897,0.333333333,2.9,119.00394097950704,0.806,100,1.1,20.8,0.69,15.8
3.3e-05,0.0831,0.05,0.7885,0.1615,0,4,2.9,131.7,0.806,115.3295328,1.11,20.8,0.66,15.3
3.3e-05,0.07,0,0,1,0,0.25,2.9,131.7,0.806,100,1.08,22.4,0.74,17.8
3.3e-05,0.07,0,0,1,0,0.25150624362965507,2.9,131.7,0.806,100,1.1,23,0.75,19
3.3e-05,0.07,0.003512076,0,1,0.007736154,0.357924842,2.9,131.7,0.806,100,1.08,22.4,0.74,17.8
