"ETL_EM","Cell_A","Cs_ratio","FA_ratio","MA_ratio","Br_ratio","DMSO_DMF","AntiSolvent_Xl","AntiSolvent_bp","AntiSolvent_v","Annealing_t","JV_Voc","JV_Jsc","JV_FF","JV_PCE"
3.3e-05,0.066,0,0,1,0,0.0909090909090909,2.9,131.7,0.806,100,1.04,22.5,0.74,17.3
3.3e-05,0.066,0,0,1,0,0.0909090909090909,2.9,131.7,0.806,100,1.07,23.2,0.77,19.1
3.3e-05,0.066,0,0,1,0,0.0909090909090909,2.9,131.7,0.806,100,1.07,23.7,0.78,19.8
3.3e-05,0.066,0,0,1,0,0.0909090909090909,2.9,131.7,0.806,100,1.09,22.9,0.76,19
3.3e-05,0.066,0,0,1,0,0.0909090909090909,2.9,131.7,0.806,100,1.06,22.3,0.77,18.2
3.3e-05,0.59,0,0,1,0,0.121951219512195,0.9,34.6,0.2448,100,1.067,22.77,0.733,17.83
3.3e-05,0.59,0.1,0.75,0.15,0.17,0.25,2.9,131.7,0.806,100,1.132,21.77,0.760999999999999,18.76
3.3e-05,0.012,0,0,1,0,0.25,2.9,131.7,0.806,100,1.13,22.79,0.640999999999999,16.52
3.3e-05,0.012,0,0,1,0,0.25,2.9,131.7,0.806,100,1.12,22.33,0.689,17.23
3.3e-05,0.012,0,0,1,0,0.121951219512195,0.9,34.6,0.2448,100,1.13,22.69,0.722,18.54
0.000992,0.1,0.1,0.75,0.15,0.17,0.25,2.9,131.7,0.806,100,1.11,23.55,0.71,18.56
3.3e-05,0.06,0.1,0.75,0.15,0.153,0.25,2.9,131.7,0.806,100,1.06,21.45,0.7,15.93
3.3e-05,0.06,0.1,0.75,0.15,0.153,0.25,2.9,131.7,0.806,100,1.05,22.05,0.7,16.29
3.3e-05,0.06,0.1,0.75,0.15,0.153,0.25,2.9,131.7,0.806,100,1.07,22.8,0.72,17.66
3.3e-05,0.06,0.1,0.75,0.15,0.153,0.25,2.9,131.7,0.806,100,1.06,22.28,0.71,16.86
3.3e-05,0.06,0.1,0.75,0.15,0.153,0.25,2.9,131.7,0.806,100,1.06,22.02,0.71,16.59
3.3e-05,0.06,0.1,0.75,0.15,0.153,0.25,2.9,131.7,0.806,100,1.06,21.68,0.71,16.2
3.3e-05,0.06,0.1,0.75,0.15,0.153,0.25,2.9,131.7,0.806,100,1.05,21.97,0.72,16.57
3.3e-05,0.06,0.1,0.75,0.15,0.153,0.25,2.9,131.7,0.806,100,1.06,22.63,0.73,17.53
3.3e-05,0.06,0.1,0.75,0.15,0.153,0.25,2.9,131.7,0.806,100,1.07,22.97,0.74,18.28
0.000992,0.09,0,0,1,0,0.111111111111111,0.9,34.6,0.2448,60,1.1,21.76,0.728,17.34
0.000992,0.09,0,0.3,0.7,0.3,0.25,2.9,131.7,0.806,100,1.08,23.4,0.74,20.1
0.000992,0.09,0,0.3,0.7,0.3,0.25,2.9,131.7,0.806,100,1.05,21.92,0.61,14.07
0.000992,0.09,0,0.3,0.7,0.3,0.25,2.9,131.7,0.806,100,1.05,22.83,0.74,17.71
0.000992,0.09,0,0.3,0.7,0.3,0.25,2.9,131.7,0.806,100,1.11,22.99,0.77,20.11
0.000992,0.09,0,0.3,0.7,0.3,0.25,2.9,131.7,0.806,100,1.13,22.29,0.68,17.23
3.3e-05,0.16,0,0,1,0,0.428571428571429,2.9,131.7,0.806,100,1.08,21.51,0.68,15.7
0.000992,0.0314,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.07,21.7,0.81,18.8
0.000992,0.0314,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.1,22.01,0.82,19.8
0.000992,0.0314,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.09,21.5,0.81,19
0.000992,0.0314,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.113,22.01,0.81,19.9
0.000992,0.0314,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.12,21.82,0.83,20.3
0.000992,0.0314,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.1,21.9,0.83,19.96
3.3e-05,0.16,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.12,23.2,0.7,18.15
3.3e-05,0.16,0.05,0.79,0.16,0.17,0.25,0.3,82.3,2.038,100,1.16,22.5,0.72,18.9
3.3e-05,0.16,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.12,22.3,0.7,18.2
3.3e-05,0.16,0.05,0.79,0.16,0.17,0.25,0.3,82.3,2.038,100,1.16,22.5,0.705,18.8
0.000992,0.1,0,0,1,0,0.428571428571429,2.9,131.7,0.806,100,1.07,23.09,0.734,18.22
3.3e-05,0.1,0,0,1,0,0.333333333333333,2.9,131.7,0.806,100,1.1,20.8,0.69,15.8
3.3e-05,0.0831,0.05,0.7885,0.1615,0,4,2.9,131.7,0.806,100,1.11,20.8,0.66,15.3
3.3e-05,0.07,0,0,1,0,0.25,2.9,131.7,0.806,100,1.08,22.4,0.74,17.8
3.3e-05,0.07,0,0,1,0,0.25,2.9,131.7,0.806,100,1.1,23,0.75,19
3.3e-05,0.07,0,0,1,0,0.25,2.9,131.7,0.806,100,1.08,22.4,0.74,17.8
3.3e-05,0.07,0,0,1,0,0.25,2.9,131.7,0.806,100,1.08,22.1,0.73,17.4
3.3e-05,0.07,0,0,1,0,0.25,2.9,131.7,0.806,100,1.06,21.9,0.72,16.9
3.3e-05,0.07,0,0,1,0,0.25,2.9,131.7,0.806,100,1.03,20.8,0.67,14.4
3.3e-05,0.07,0,0,1,0,0.25,2.9,131.7,0.806,100,1.1,23,0.75,19
3.3e-05,0.07,0,0,1,0,0.25,2.9,131.7,0.806,100,1.1,22.9,0.75,18.8
3.3e-05,0.07,0,0,1,0,0.25,2.9,131.7,0.806,100,1.09,22.7,0.75,18.4
3.3e-05,0.07,0,0,1,0,0.25,2.9,131.7,0.806,100,1.09,22.5,0.74,18.1
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.092,22.89,0.77,19.3
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.099,22.85,0.76,19.01
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.114,22.89,0.74,18.97
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.089,22.65,0.79,19.53
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.127,22.99,0.78,20.33
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.133,22.95,0.77,20.11
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.141,22.91,0.77,20.07
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.089,22.65,0.79,19.53
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.153,23.06,0.79,20.96
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.077,22.38,0.77,18.58
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.089,22.65,0.79,19.53
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.064,22.5,0.77,18.46
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.08,22.49,0.77,18.69
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.092,22.74,0.77,19.24
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.087,22.45,0.78,19.09
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.083,22.22,0.76,18.35
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.061,22.41,0.78,18.68
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.08,22.69,0.75,18.36
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.074,21.86,0.74,17.43
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.097,22.67,0.76,18.87
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.09,22.5,0.72,17.64
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.079,22.51,0.76,18.43
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.094,22.53,0.78,19.12
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.104,22.63,0.76,18.86
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.11,22.47,0.75,18.73
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.085,22.8,0.75,18.61
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.079,22.65,0.76,18.55
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.084,22.47,0.77,18.71
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.077,22.33,0.75,18.07
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.145,23.01,0.78,20.56
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.152,23.06,0.79,20.96
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.16,22.96,0.77,20.62
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.149,22.97,0.78,20.46
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.151,22.92,0.77,20.43
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.135,22.81,0.78,20.21
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.139,22.43,0.81,20.62
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.141,22.91,0.77,20.02
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.137,22.86,0.77,20
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.138,22.9,0.76,19.86
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.139,22.91,0.77,20.01
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.138,23,0.77,20.27
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.142,23.06,0.76,20.01
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.139,23.04,0.76,20.06
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.156,22.78,0.77,20.25
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.153,22.83,0.77,20.27
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.129,22.84,0.76,19.55
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.133,22.78,0.77,19.76
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.154,22.82,0.78,20.46
0.000992,0.125,0,0.95,0.05,0.05,0.125,0.9,34.6,0.2448,150,1.128,22.78,0.78,20.02
0.000992,0.1,0.17,0.83,0,0.133,4,2.9,131.7,0.806,100,1.02,22.05,0.71,15.97
0.000992,0.1,0.05,0.79,0.16,0.17,4,2.9,131.7,0.806,100,1.02,22.56,0.743,17.08
0.000992,0.1,0.05,0.79,0.16,0.17,4,2.9,131.7,0.806,100,1.13,23.33,0.777,20.48
0.000992,0.1,0.17,0.83,0,0.133,4,2.9,131.7,0.806,100,1.08,22.79,0.756,18.06
3.3e-05,0.0831,0,0,1,0,4,2.9,131.7,0.806,100,1.06,18.7,0.76,15.1
3.3e-05,0.1,0.07,0.81,0.12,0.127,0.25,2.9,131.7,0.806,100,1.11,22,0.719,17.6
