ETL_EM,Cell_A,Cs_ratio,FA_ratio,MA_ratio,Br_ratio,DMSO_DMF,AntiSolvent_Xl,AntiSolvent_bp,AntiSolvent_v,Annealing_t,JV_Voc,JV_Jsc,JV_FF,JV_PCE
3.3e-05,0.09,0,0,1,0.038372032222628596,0.25,2.9,131.7,0.806,100,1.05,20.68,0.7,15.33
3.3e-05,0.09,0,0,1,0,0.25,2.9,131.7,0.806,100,1.08,21.04,0.74,17.05
3.3e-05,0.09,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.03,20.8,0.746,16.1
0.000992,0.09,0.05,0.8250765706583261,0.16,0.17,0.25,2.2314085347602965,131.7,0.806,117.67178968006142,1.05,21.8,0.767,17.5
0.000992,0.16,0.05,0.81,0.14,0.15,0.25,0.7,77.1,0.423,120,1.097,22.26,0.75,18.32
0.000992,0.16,0.05,0.81,0.14,0.15,0.25,0.7,77.1,0.423,120,1.092,22.21,0.755,18.07
0.000992,0.1,0,0.83,0.17,0.17,0.5,2.9,131.7,0.806,140,1.18,20.04,0.759,19.63
3.3e-05,0.09,0,0.85,0.15,0.10973833015567064,0.25,2.9,131.7,0.806,150,1.03,24.19,0.726,18.3
3.3e-05,0.09,0,0.85,0.15,0.11485867569899559,0.25,2.9,131.7,0.806,150,1.05,25.4,0.771,20.56
0.000992,0.1,0,0,1,0,0.111111111,2.9,131.7,0.5981564991290271,100,1.02,22.5,0.752,17.6
0.000992,0.11556392598599195,0.05,0.81,0.14,0.15,0.25,2.9,131.7,0.806,120,1.13,22.58,0.733,18.7
3.3e-05,0.16,0.017625447,0,1,0,0.111111111,2.9,131.7,0.806,118.19305465383911,1.01,21.8,0.668,14.7
3.3e-05,0.16,0.029743283750414844,0,1,0.03995452,1.2081301844914165,2.260160037528992,115.41275066040873,0.806,100,1.02,22.3,0.76,17.3
0.000992,0.16,0.05,0.79,0.16,0.17,0.089000342,2.9,131.7,0.806,100,1.051,20.1,0.75,15.9
0.000992,0.16,0.05,0.79,0.16,0.17,0.089000452,2.9,113.33784480044454,0.806,100,1.091,20.6,0.76,17
0.000992,0.17,0.05,0.800641682,0.16,0.17,0.25,2.9,131.7,0.806,100,1.137,21.83,0.749,18.57
0.000992,0.17,0.05,0.79,0.16,0.11806797989693284,0.089000005,2.9,131.7,0.806,100,1.141,22.07,0.748,18.84
0.000992,0.17,0.05,0.79,0.16,0.11188926867517829,0.25,2.9,131.7,0.806,100,1.143,21.86,0.781,19.52
0.000992,0.17,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.141,21.92,0.787,19.68
0.000992,0.17,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.153,22.31,0.791,20.33
0.000992,0.17,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.158,22.39,0.793,20.56
0.000992,0.17,0.05,0.79,0.16827319998461007,0.17,0.25,2.9,131.7,0.806,100,1.145,21.31,0.779,19.02
0.000972747,0.17,0.05,0.79,0.16,0.17,0.25,2.283628874,131.7,0.6971960278593897,100,1.145,21.36,0.784,19.17
0.000992,0.17,0,1,0,0,0.25,2.9,131.7,0.806,100,1.103,23.23,0.765,19.52
0.000992,0.17,0,1,0,0,0.25,2.9,131.7,0.806,100,1.117,23.13,0.771,19.92
0.000992,0.099613068,0,1,0.068612018,0,0.25,2.9,131.7,0.806,100,1.137,23.83,0.798,21.64
0.000992,0.17,0,1,0,0,0.089000001,2.9,131.7,0.806,100,1.139,23.68,0.814,21.95
0.000992,0.09,0,0,1,0,0.089000096,0.8999999999999999,34.6,0.24821588557082414,164.4227780579311,1.04,21.4,0.75,16.7
0.000992,0.09,0,0,1,0,0.142857143,0.8999999999999999,34.6,0.3179645441393554,100,1.04,21.4,0.75,16.7
0.000749374,0.09,0,0,1,0.032920076,0.142857143,0.8999999999999999,34.6,0.2448,100,1.05,22.2,0.763,17.81
3.3e-05,0.07,0.05,0.855,0.095,0.145,0.25,2.2319734677852394,131.7,0.806,100,1.02,21.22,0.711,15.4
0.000468897,0.09,0.048861736,0.85,0,0,0.25,2.9,131.7,0.806,130,1,24,0.715,17.2
0.000992,0.125,0,0.83,0.17288484576484558,0.16000000000000003,0.25,2.2798624314216376,131.7,0.6631393911028802,100,1.05,20.5,0.646,14.22
0.000992,0.125,0,0.83,0.17,0.16000000000000003,0.25,2.9,131.7,0.806,100,1.09,21.5,0.705,16.73
3.3e-05,0.09,0,0,1,0,0.25,2.9,131.7,0.806,100,1.01,22.96,0.74,17.25
0.000992,0.0893,0.17,0.83,0,0.27,0.111111111,2.9,131.7,0.806,100,1.244,19.5,0.767,18.6
0.000992,0.0893,0.17,0.83,0,0.10839250271731615,0.111111111,2.9,106.0164516067621,0.806,100,1.284,17.8,0.722,16.51
0.000992,0.0893,0.042596488,0.83,0,0.5,0.111111111,2.9,131.7,0.806,100,1.296,16.2,0.715,15.01
0.000992,0.0893,0.17,0.83,0,0.6,0.111111111,2.8297734115860464,131.7,0.806,100,1.312,15,0.729,14.35
0.000992,0.065991633,0.17,0.83,0,0.11055513568761945,0.111111111,2.9,131.7,0.806,100,1.223,19.5,0.721,17.2
0.000992,0.0893,0.17,0.83,0.064940875,0.4,0.111111111,2.9,131.7,0.806,100,1.254,17.4,0.697,15.2
0.000992,0.0893,0.17,0.83,0,0.27,0.111111111,2.9,131.7,0.624030538,100,1.223,19.6,0.725,17.39
3.3e-05,0.1,0,0,1,0.039385658580124376,0.42857142857142894,2.9,131.7,0.806,100,1.08,21.4,0.72,16.6
3.3e-05,0.1,0.024886484151899813,0,1,0,0.42857142857142894,2.291677125,131.7,0.6639844404945969,100,1.11,23.3,0.78,20.2
3.3e-05,0.1,0,0,1,0,0.142857143,0.8999999999999999,34.6,0.2448,100,1.08,23.26,0.68,17.06
3.3e-05,0.1,0,0,0.9832833109343051,0,0.142857143,0.8999999999999999,34.6,0.2448,100,1.01,23.59,0.595,14.18
3.3e-05,0.15,0.053199944,0.85,0.15,0.15,0.25,2.7,110.6,0.56,100,1.035,23.2,0.7046,16.96
3.3e-05,0.15,0,0.8355866085769533,0.1813741053908765,0.15,0.25,2.7,110.6,0.56,100,1.068,23.39,0.718,17.94
3.3e-05,0.15,0,0.85,0.15,0.15,0.11453835729965484,2.7,110.6,0.56,118.16135094307172,1.07,23.48,0.714,17.95
3.3e-05,0.06,0.05,0.79,0.1592410607110858,0.099928492,0.25,2.9,131.7,0.806,100,1.039,19.21,0.704,14.05
3.3e-05,0.06,0.05,0.8129621529119014,0.1341432482330799,0.16000000000000003,0.25,0.8999999999999999,34.6,0.2448,100,1.073,19.31,0.718,15.04
0.000901608,0.06,0.05,0.79,0.16,0.16000000000000003,0.25,2.7,110.6,0.56,100,1.071,17.2,0.716,13.18
3.3e-05,0.06,0.05,0.79,0.16,0.16000000000000003,0.25,0.3,129.94852093049437,2.038,116.8443863079797,1.058,17.59,0.678,12.62
3.3e-05,0.06,0.05,0.79,0.16,0.16000000000000003,0.1283121594840536,0.7,77.1,0.423,100,1.049,17.82,0.686,12.82
3.3e-05,0.06,0.05,0.79,0.16,0.16000000000000003,0.25,0.8999999999999999,34.6,0.2448,100,1.085,19.35,0.716,15.03
3.3e-05,0.099516,0.05,0.7957093328102827,0.16,0.16000000000000003,0.25,0.8999999999999999,34.6,0.2448,100,1.099,19.59,0.721,15.52
3.3e-05,0.10569230106702446,0.05,0.79,0.16,0.16000000000000003,0.25,0.8999999999999999,34.6,0.2448,100,1.105,20.54,0.728,16.54
3.3e-05,0.10140611553946137,0.040124666256308554,0.79,0.16,0.16000000000000003,0.25,0.8999999999999999,34.6,0.2448,100,1.101,20.1,0.717,15.86
0.000980625,0.06,0.05,0.79,0.16,0.16000000000000003,0.25,0.8999999999999999,34.6,0.2448,100,1.082,18.18,0.693,13.61
0.000860672,0.06,0.05,0.8188493095635175,0.1345290098798275,0.16000000000000003,0.25,0.8999999999999999,34.6,0.2448,100,1.115,21.1,0.739,17.38
3.3e-05,0.06,0,0.83,0.17,0.17,0.25,0.8999999999999999,34.6,0.32358894992858167,115.83820476316681,1.07,19.92,0.689,14.68
0.000992,0.1,0,0.85,0.15,0.15,0.25,2.9,131.7,0.806,100,1.08,23.31,0.79,19.7
0.000992,0.1,0,0.85,0.15,0.15,0.25,2.214247755354166,131.7,0.806,100,1.06,20.25,0.77,16.6
0.000882772,0.09,0,0,1,0,0.111111111,2.9,131.7,0.806,100,1.07,21.6,0.718,16.6
3.3e-05,0.09,0,0,1,0,0.111111111,2.9,131.7,0.806,100,1.09,21.1,0.682,15.7
8.156769561767579e-05,0.1,0.17,0.83,0.073609366,0.4,0.285714286,2.9,131.7,0.6634355306324065,100,1.2,18.11,0.76,16.57
7.768008041381836e-05,0.1,0.050037607,0.83,0,0.4,0.285714286,2.9,131.7,0.6292355509990751,100,1.17,18.86,0.74,16.34
0.000992,0.15535570079576969,0,0,1,0.032489741353839634,0.111111111,0.8999999999999999,34.6,0.2448,100,1.134,23.05,0.778,20.31
0.000419869,0.1,0,0,0.9778865221856236,0.047528197,0.111111111,2.2749410887216333,34.6,0.2448,100,1.035,22.1,0.736,17.91
3.3e-05,0.099146766,0.018218955,0,1,0,0.42857142857142894,2.260950109298587,111.34647185272078,0.806,100,1.06,22.71,0.66,15.9
3.3e-05,0.07,0,0,0.9832567272361517,0,0.42857142857142894,2.2686861035394075,131.7,0.806,100,1.11,22.77,0.7,17.7
3.3e-05,0.07,0,0,1,0,0.097616248,2.2550604530355933,131.7,0.806,100,1.12,22.86,0.71,18.3
3.3e-05,0.1,0.04276286,0.79,0.16,0,0.25,2.9,131.7,0.806,116.31449803216165,1.14,22.49,0.74,19.1
0.000992,0.1,0.05,0.81,0.14,0.15,0.25,2.2435284760318996,131.7,0.806,100,1.12,22.6,0.74,18.3
0.000992,0.1,0.04379971,0.81,0.14,0.10132526357501745,0.25,2.9,131.7,0.806,100,1.135,22.1,0.71,17.8
0.000944206,0.1,0.05,0.81,0.14,0.15,0.25,2.9,131.7,0.806,100,1.195,22.2,0.73,19.4
3.3e-05,0.1,0.05,0.81,0.14,0.15,0.25,2.9,131.7,0.806,110,1.128,21.8,0.71,17.5
3.3e-05,0.1,0.05,0.81,0.14,0.15,0.25,2.9,131.7,0.806,110,1.15,22,0.728,18.6
3.3e-05,0.1,0.05,0.81,0.14,0.15,0.25,2.9,131.7,0.806,110,1.156,22.2,0.754,19.3
3.3e-05,0.1,0.05,0.81,0.14,0.15,0.1268854156814453,2.9,111.55221965551377,0.6182504997677505,110,1.144,22,0.744,18.8
0.000992,0.11122489178949593,0.05,0.83,0.12,0.13,0.25,2.2103461292811635,131.7,0.806,100,1.14,23.12,0.728,19.2
0.00059813,0.15,0,0,1,0,0.42857142857142894,2.7,111.05843344750653,0.56,100,0.97,20.9,0.72,14.5
3.3e-05,0.11916905616036057,0,0,1,0,0.42857142857142894,2.263891766461849,110.6,0.56,100,0.97,22.4,0.72,15.5
0.000992,0.08567,0,0,1,0,0.111111111,2.3636432507186536,34.6,0.2448,159.5607466849185,1.121,23.21,0.762,19.82
