ETL_EM,Cell_A,Cs_ratio,FA_ratio,MA_ratio,Br_ratio,DMSO_DMF,AntiSolvent_Xl,AntiSolvent_bp,AntiSolvent_v,Annealing_t,JV_Voc,JV_Jsc,JV_FF,JV_PCE
3.3030261656502265e-05,0.09,0,0,1,0,0.25,2.9,131.7,0.806,100,1.05,20.68,0.7,15.33
3.3e-05,0.09,0,0.17505159597846864,1,0,0.25,2.9,131.7,0.806,105.57370695241856,1.08,21.04,0.74,17.05
3.3e-05,0.09,0.05,0.79,0.16,0.13091245654651523,0.25,2.9,131.7,0.806,100,1.03,20.8,0.746,16.1
0.000992,0.09,0.05,0.79,0.16,0.1297537224394679,0.25,2.9,131.7,0.8069233917746544,104.57711370837683,1.05,21.8,0.767,17.5
0.000992,0.16,0.05,0.81,0.14,0.15,0.25,0.7,77.1,0.42299999999999993,104.7439733363387,1.097,22.26,0.75,18.32
0.000992,0.16,0.028359525141566994,0.81,0.14,0.15,0.25,0.7,77.1,0.42299999999999993,120,1.092,22.21,0.755,18.07
0.000992,0.1,0,0.83,0.17,0.17,0.14480284000858085,2.9,131.7,0.806,140,1.18,20.04,0.759,19.63
3.3e-05,0.10846418514972925,0,0.85,0.15,0,0.25,2.9,131.7,0.806,150,1.03,24.19,0.726,18.3
3.3e-05,0.09,0,0.8331135497875213,0.15,0,0.25,2.9,131.7,0.806,150,1.05,25.4,0.771,20.56
3.3077084256336095e-05,0.1,0,0,1,0,0.111111111,2.9,131.7,0.806,100,1.02,22.5,0.752,17.6
0.000992,0.1,0.05,0.81,0.14,0.15,0.25,2.9,131.7,0.7637092909828127,120,1.13,22.58,0.733,18.7
3.3e-05,0.16,0,0.17690539169174432,1,0,0.111111111,2.9,131.7,0.806,100,1.01,21.8,0.668,14.7
3.3e-05,0.16,0,0.17625948531273006,1,0,0.111111111,2.9,131.7,0.806,100,1.02,22.3,0.76,17.3
0.000992,0.16,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.051,20.1,0.75,15.9
0.000992,0.16,0.05,0.79,0.16,0.14715293733403087,0.14924985061536003,2.9,131.7,0.806,100,1.091,20.6,0.76,17
0.000992,0.17,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.137,21.83,0.749,18.57
0.000992,0.17,0.05,0.79,0.16,0.17,0.25,2.783349670826912,101.96679142176771,0.806,100,1.141,22.07,0.748,18.84
0.000992,0.17,0.05,0.79,0.20011999353486298,0.17,0.25,2.9,131.7,0.806,100,1.143,21.86,0.781,19.52
0.000992,0.17,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.141,21.92,0.787,19.68
0.000992,0.17,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.153,22.31,0.791,20.33
0.000992,0.17,0.05,0.79,0.16,0.14995384770670533,0.13858912364382903,2.9,131.7,0.8964604741336406,100,1.158,22.39,0.793,20.56
0.000992,0.17,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.806,100,1.145,21.31,0.779,19.02
0.000992,0.17,0.05,0.79,0.16,0.17,0.25,2.9,131.7,0.9502630013954938,100,1.145,21.36,0.784,19.17
0.000992,0.17,0,1,0,0,0.25,2.9,131.7,1.167535907645166,106.9230994953594,1.103,23.23,0.765,19.52
0.000992,0.17,0,1,0,0,0.25,2.9,131.7,0.806,100,1.117,23.13,0.771,19.92
0.000992,0.17,0,0.864555508,0,0,0.25,2.9,131.7,0.806,100,1.137,23.83,0.798,21.64
0.000992,0.17,0,1,0,0,0.25,2.9,131.7,0.806,100,1.139,23.68,0.814,21.95
0.000992,0.09,0,0,1,0,0.142857143,0.9000000000000001,34.6,0.2448,100,1.04,21.4,0.75,16.7
0.000992,0.09,0,0,1,0,0.142857143,0.9000000000000001,34.6,0.2448,100,1.04,21.4,0.75,16.7
0.000992,0.09,0,0,0.9588547996817827,0,0.142857143,0.9000000000000001,34.6,0.2448,100,1.05,22.2,0.763,17.81
3.3e-05,0.07,0.05,0.855,0.095,0.1400408694636822,0.25,2.9,131.7,0.806,100,1.02,21.22,0.711,15.4
3.300222037881031e-05,0.09,0.15,0.85,0,0,0.25,2.9,131.7,0.806,130,1,24,0.715,17.2
0.000992,0.125,0.025992392324745657,0.83,0.17,0.16000000000000003,0.25,2.9,131.7,0.806,100,1.05,20.5,0.646,14.22
0.000992,0.125,0,0.83,0.17,0.16000000000000003,0.25,2.9,131.7,0.806,100,1.09,21.5,0.705,16.73
3.3e-05,0.09,0,0,1,0,0.25,2.9,131.7,0.806,100,1.01,22.96,0.74,17.25
0.000992,0.0893,0.17,0.83,0,0.27,0.111111111,2.9,131.7,0.806,100,1.244,19.5,0.767,18.6
0.000992,0.0893,0.17,0.83,0,0.4,0.39000806199171867,2.9,131.7,0.806,100,1.284,17.8,0.722,16.51
0.000992,0.0893,0.17,0.83,0,0.5,0.111111111,2.9,131.7,0.806,104.18728502364652,1.296,16.2,0.715,15.01
0.000992,0.0893,0.17,0.83,0,0.6,0.111111111,2.9,131.7,0.806,100,1.312,15,0.729,14.35
3.3131521224975587e-05,0.11187905735009909,0.17,0.83,0,0.27,0.111111111,2.9,131.7,0.806,100,1.223,19.5,0.721,17.2
0.000992,0.0893,0.17,0.83,0,0.4,0.111111111,2.9,131.7,0.806,100,1.254,17.4,0.697,15.2
0.000992,0.0893,0.17,0.83,0,0.27,0.111111111,2.9,131.7,0.806,100,1.223,19.6,0.725,17.39
3.3e-05,0.1,0,0,1,0,0.428571429,2.9,108.28577657837951,0.806,100,1.08,21.4,0.72,16.6
3.3e-05,0.11760311527162791,0,0,1,0,0.428571429,2.9,131.7,0.806,100,1.11,23.3,0.78,20.2
3.3e-05,0.1,0,0,1,0,0.142857143,0.9000000000000001,34.6,0.2448,100,1.08,23.26,0.68,17.06
3.3e-05,0.1,0,0,1,0,0.15948059089954436,0.9000000000000001,34.6,0.2448,100,1.01,23.59,0.595,14.18
3.3e-05,0.15,0,0.85,0.15,0.15,0.25,2.7,110.6,0.56,100,1.035,23.2,0.7046,16.96
3.3e-05,0.15,0,0.85,0.19853975361233947,0.15,0.25,2.7,110.6,0.56,100,1.068,23.39,0.718,17.94
3.3e-05,0.15,0,0.8249167108411788,0.15,0.13732856154313683,0.25,2.769781765,105.6867776289009,0.56,100,1.07,23.48,0.714,17.95
3.304967378801667e-05,0.06,0.05,0.79,0.16,0.16000000000000003,0.25,2.9,103.44098973951787,0.7862170999018551,100,1.039,19.21,0.704,14.05
3.3e-05,0.06,0.05,0.79,0.18194583371528983,0.11892993602254986,0.25,0.9000000000000001,34.6,0.2448,100,1.073,19.31,0.718,15.04
3.3e-05,0.06,0.05,0.79,0.16,0.16000000000000003,0.25,2.7824059620575907,110.6,0.56,106.28185066856682,1.071,17.2,0.716,13.18
